dao_receive,dao_give,amount
afrikaburn,Community Squad,428.0
alas,NxM,0.0
appalabs,Human Guild,2500.0
arrozcriativo,Creatives,5581.0
arrozcriativo,NxM,38.0
art,Community Squad,2000.0
art,Human Guild,2000.0
berryclub,Createbase,150.0
bogotahacknode,Community Squad,560.0
c1,Creatives,3773.0
ceramic,Genesis,333.00000000000006
china_charity_dao,Community Squad,10000.0
clan,Creatives,340.0
codame,Createbase,5.000000000000001
createbase,Community Squad,300.0
createbase,Createbase,20.000000000000004
createbase,Creatives,7710.0
creatives,Community Squad,62434.0
creatives,Creatives,31190.58
cudo,Creatives,1657.0
cura,Creatives,620.0
curators,Community Squad,2100.0
degensdao,Ecosystem (KoG),28900.0
dj-dao,Creatives,187.0
dj-dao,NxM,140.0
drops-dao,NxM,498.00000000000006
generative-art,Createbase,2000.0
graffiti,Createbase,200.0
graffiti,Creatives,156.0
hype,Creatives,3262.0
incubadorapt,Creatives,3158.0
indiacovidrelief,Createbase,10.000000000000002
jusdao,Createbase,8.0
kikimora,Human Guild,5000.0
lisboa-hack,Community Squad,1151.95
lisboa-node,Community Squad,913.0
marketing-vertical,Community Squad,20831.14
marmaj,Createbase,5.000000000000001
marmaj,Creatives,190.0
marmaj,Marketing Vertical,56.0
misfits,Community Squad,4142.0
motion,Creatives,889.44
move,Move Capital,48001.0
mukachevo,Community Squad,1885.0
muti,Creatives,2544.0
muti,NxM,170.0
near-data-center,Community Squad,1000.0
near_asia_dev_dao,Community Squad,710.0
near_codame_china,Createbase,200.0
near_india_guild,Community Squad,1943.5
neararabia,Community Squad,43.5
neararabia,Marketing Vertical,760.0
nearch4n,Creatives,600.0
nearsamurai,Community Squad,490.0
nft-gaming,Community Squad,2000.0
nft-onboarding,Community Squad,1005.0
nft-onboarding,Createbase,3050.0
npk-guild-nigeria,Community Squad,1367.5
npk-guild-nigeria,Marketing Vertical,1250.0
nxm,NxM,420.0
nxm-dao,Creatives,4205.0
nxm-dao,Marketing Vertical,140.0
nyc,Community Squad,1000.0
onboarding-dao,Creatives,263.0
portuguese,Community Squad,1395.0
rucommunity,Community Squad,5250.0
rucommunity,Marketing Vertical,1464.0
san-francisco-near-hacknode,Community Squad,700.0
sandbox,Community Squad,73271.0
social-tokens,Createbase,2000.0
tamadao,Human Guild,10000.0
tb,Createbase,120.0
telegramcommunity,Community Squad,1600.0
turkey,Marketing Vertical,280.0
vietnam_covid19_charity,Community Squad,10000.0
vitalpointai,Community Squad,6600.0
vr-dao,Community Squad,2000.0
vr-dao,Creatives,3083.0
wiki,Community Squad,4500.0
zenbikers,Creatives,728.0
