,dao_give,dao_receive,amount,time
0,communitysquad,createbase,300.0,2021-04-20 18:19:21.470696448
1,communitysquad,portuguese,150.0,2021-05-13 19:41:04.447497216
2,communitysquad,sandbox,2551.0,2021-05-19 15:22:09.020133120
3,communitysquad,nft-gaming,2000.0,2021-05-20 16:12:46.214436608
4,communitysquad,vr,2000.0,2021-05-20 16:16:08.911319040
5,communitysquad,nft-onboarding,1005.0,2021-05-21 20:49:41.387892480
6,communitysquad,sandbox,4000.0,2021-06-01 09:59:35.057837568
7,communitysquad,sandbox,8400.0,2021-06-07 14:56:21.782763008
8,communitysquad,creatives,4500.0,2021-06-07 15:07:28.768862720
9,communitysquad,creatives,7934.0,2021-06-21 16:00:12.245221376
10,communitysquad,portuguese,90.0,2021-06-24 11:45:37.762979840
11,communitysquad,near_india_guild,1900.0,2021-06-28 20:27:46.817388288
12,communitysquad,sandbox,4000.0,2021-06-30 17:19:47.878884096
13,communitysquad,sandbox,22500.0,2021-07-08 07:16:17.454809600
14,communitysquad,vietnam_covid19_charity,10000.0,2021-08-04 07:31:41.660070400
15,communitysquad,vitalpointai,6600.0,2021-08-06 22:53:01.463759616
16,communitysquad,sandbox,4000.0,2021-08-10 07:21:21.226158592
17,communitysquad,portuguese,165.0,2021-08-10 17:14:12.610895104
18,communitysquad,art,2000.0,2021-08-17 10:58:05.860684288
19,communitysquad,sandbox,1500.0,2021-08-17 15:31:38.761671424
20,communitysquad,neararabia,43.5,2021-08-18 09:22:50.485868288
21,communitysquad,near_india_guild,43.5,2021-08-18 11:34:09.251706368
22,communitysquad,creatives,20000.0,2021-08-19 19:40:22.464217088
23,communitysquad,near-data-center,1000.0,2021-08-26 19:54:29.240952832
24,communitysquad,portuguese,195.0,2021-08-26 20:32:51.117598720
25,communitysquad,sandbox,4150.0,2021-08-29 18:41:47.564318976
26,communitysquad,china_charity_dao,10000.0,2021-08-29 22:33:00.338367488
27,communitysquad,nyc,1000.0,2021-08-31 12:12:15.019559936
28,communitysquad,mukachevo,900.0,2021-08-31 21:28:00.235804160
29,communitysquad,bogotahacknode,560.0,2021-09-01 09:59:24.805850112
30,communitysquad,npk-guild-nigeria,1000.0,2021-09-01 10:02:26.132844288
31,communitysquad,san-francisco-near-hacknode,300.0,2021-09-04 12:10:42.117790720
32,communitysquad,lisboa-hack,1135.0,2021-09-08 16:18:41.907218688
33,communitysquad,mukachevo,985.0,2021-09-08 23:31:11.002470912
34,communitysquad,sandbox,3000.0,2021-09-09 06:36:54.348058880
35,communitysquad,marketing-vertical,4936.0,2021-09-09 12:40:04.445508608
36,communitysquad,rucommunity,5250.0,2021-09-10 14:11:48.096171008
37,communitysquad,san-francisco-near-hacknode,400.0,2021-09-10 19:29:58.041492992
38,communitysquad,telegramcommunity,1600.0,2021-09-14 05:33:22.784929280
39,communitysquad,sandbox,14274.0,2021-09-15 20:03:25.657840384
40,communitysquad,marketing-vertical,2000.0,2021-09-22 14:11:21.093364992
41,communitysquad,creatives,30000.0,2021-09-26 15:15:57.334043392
42,communitysquad,sandbox,1063.0,2021-10-03 15:10:30.192238592
43,communitysquad,portuguese,635.0,2021-10-04 15:12:32.511303424
44,communitysquad,marketing-vertical,2885.0,2021-10-05 15:19:17.735681536
45,communitysquad,portuguese,160.0,2021-10-14 21:59:21.149004288
46,communitysquad,misfits,4142.0,2021-10-15 00:28:23.158197248
47,communitysquad,marketing-vertical,11010.14,2021-10-19 11:06:14.637263616
48,communitysquad,lisboa-hack,16.95,2021-10-19 19:31:28.686947584
49,communitysquad,sandbox,3833.0,2021-11-04 17:17:32.263258368
50,communitysquad,near_asia_dev_dao,710.0,2021-11-08 16:19:40.321776896
51,communitysquad,npk-guild-nigeria,367.5,2021-11-14 07:03:05.597150208
52,communitysquad,nearsamurai,490.0,2021-11-15 18:16:37.107317504
53,creatives,arrozcriativo,310.0,2021-07-03 14:08:56.206919200
54,creatives,arrozcriativo,240.0,2021-07-16 19:57:43.354940700
55,creatives,incubadorapt,440.0,2021-07-23 22:01:54.855918800
56,creatives,arrozcriativo,1873.0,2021-08-05 15:10:02.264530400
57,creatives,c1,1098.0,2021-08-06 18:52:21.043421200
58,creatives,nxm,2000.0,2021-08-14 15:26:24.777838300
59,creatives,arrozcriativo,110.0,2021-08-15 21:46:49.258335000
60,creatives,createbase,2000.0,2021-08-16 09:06:05.950509600
61,creatives,incubadorapt,790.0,2021-08-21 17:20:01.181787400
62,creatives,muti,670.0,2021-08-22 12:36:35.297242400
63,creatives,createbase,5060.0,2021-09-02 21:46:38.655235300
64,creatives,vr,2000.0,2021-09-09 18:50:37.824389600
65,creatives,arrozcriativo,2000.0,2021-09-10 21:35:51.679003000
66,creatives,zenbikers,728.0,2021-09-11 10:20:07.063279600
67,creatives,c1,2000.0,2021-09-17 13:37:58.259487200
68,creatives,cudo,665.0,2021-09-17 18:23:57.993699000
69,creatives,muti,1254.0,2021-09-20 23:55:21.056021500
70,creatives,motion,550.0,2021-09-24 15:57:15.142919000
71,creatives,nearch4n,600.0,2021-09-24 21:51:19.712531700
72,creatives,nxm,1550.0,2021-09-29 12:57:10.539388400
73,creatives,incubadorapt,1275.0,2021-10-03 08:56:24.200189200
74,creatives,cudo,450.0,2021-10-10 12:59:20.554289700
75,creatives,vr,575.0,2021-10-10 22:16:35.787896000
76,creatives,cura,620.0,2021-10-14 15:50:18.888582700
77,creatives,arrozcriativo,420.0,2021-10-21 10:19:56.696916700
78,creatives,clan,340.0,2021-10-30 14:45:30.631233500
79,creatives,nxm,655.0,2021-11-03 20:36:56.848413400
80,creatives,c1,675.0,2021-11-03 21:23:57.234691000
81,creatives,motion,339.44,2021-11-03 21:47:25.924480500
82,creatives,muti,620.0,2021-11-04 10:02:01.854215200
83,creatives,incubadorapt,653.0,2021-11-04 16:43:52.575765200
84,creatives,vr,508.0,2021-11-04 16:45:09.575997400
85,creatives,graffiti,156.0,2021-11-04 17:40:13.529053400
86,creatives,cudo,542.0,2021-11-06 12:44:38.990788400
87,creatives,dj,187.0,2021-11-13 22:50:08.564370400
88,creatives,arrozcriativo,628.0,2021-11-18 11:10:38.251514400
89,creatives,createbase,650.0,2021-11-18 13:30:37.025602600
90,marketingvertical,turkey,280.0,2021-09-23 09:37:02.673297664
91,marketingvertical,neararabia,760.0,2021-09-30 08:42:20.106207232
92,marketingvertical,nxm,140.0,2021-10-19 21:29:30.549540096
93,marketingvertical,rucommunity,1464.0,2021-10-25 20:57:46.278690048
94,marketingvertical,npk-guild-nigeria,1250.0,2021-10-26 19:04:45.287058944
95,humanguild,appalabs,2500.0,2021-07-14 00:34:38.383409920
96,humanguild,art,2000.0,2021-08-09 00:59:39.033806336
97,humanguild,kikimora,5000.0,2021-11-16 20:35:13.525746432
98,ecosystem(kog),degensdao,13600.0,2021-09-04 15:03:36.539535872
99,ecosystem(kog),degensdao,15300.0,2021-10-07 22:32:56.655740928
100,genesis,ceramic,333.00000000000006,2021-06-02 15:09:35.854062600
101,nxm,muti,10.000000000000002,2021-05-21 18:42:07.939927040
102,nxm,muti,10.000000000000002,2021-06-03 21:40:16.762756864
103,nxm,alas,0.0,2021-06-08 12:42:54.747616768
104,nxm,muti,150.0,2021-09-15 10:53:01.018430464
105,nxm,drops,360.00000000000006,2021-09-18 18:18:53.310494976
106,nxm,dj,140.0,2021-10-06 12:13:18.758479616
107,nxm,drops,138.0,2021-10-11 08:59:32.778653952
108,nxm,arrozcriativo,38.0,2021-11-07 13:11:41.320792320
109,createbase,createbase,10.000000000000002,2021-02-22 19:52:57.994595328
110,createbase,createbase,10.000000000000002,2021-03-05 18:53:14.874822912
111,createbase,createbase,,2021-03-19 16:09:30.287335168
112,createbase,berryclub,150.0,2021-04-12 04:51:54.325901056
113,createbase,indiacovidrelief,5.000000000000001,2021-05-10 17:33:30.854892288
114,createbase,indiacovidrelief,5.000000000000001,2021-05-12 11:46:12.577202944
115,createbase,generative-art,2000.0,2021-05-12 17:54:32.024756992
116,createbase,social-tokens,2000.0,2021-05-12 19:33:48.007751936
117,createbase,nft-onboarding,3050.0,2021-05-14 01:44:02.006821888
118,createbase,jusdao,8.0,2021-05-28 07:54:31.001980928
119,createbase,graffiti,200.0,2021-06-02 19:00:05.151532032
120,createbase,near_codame_china,200.0,2021-06-08 01:07:14.814243584
121,createbase,tb,120.0,2021-09-30 21:28:25.724224512
